"","Country","Goal 1","Goal 2","Goal 3","Goal 4","Goal 5","Goal 6","Goal 7","Goal 8","Goal 9","Goal 10","Goal 11","Goal 12","Goal 13","Goal 14","Goal 15","Goal 16","Goal 17"
"21","Botswana",0.00389083010671451,0.00261592218339787,0.0049013126829729,0.00542071961469449,0.00208707148928133,0.00515629426763623,0.003664179809236,0.0093587685333837,0.00724336575691756,0.00204929643970158,0.00259703465860799,0.00254037208423836,0.00513740674284635,0.000821607328359618,0.0024270469354991,0.00488242515818302,0.00558126357540844
"22","Brazil",0.00569225119353654,0.00183621006243114,0.00302974660301138,0.00358060962174073,0.00174439955930958,0.0083547557840617,0.00358060962174073,0.00954829232464194,0.00945648182152038,0.00569225119353654,0.00477414616232097,0.00532500918105031,0.00422328314359163,0.000826294528094014,0.00266250459052516,0.00881380829966948,0.00615130370914433
"23","Brunei Darussalam",0.00104052858852297,0.00150876645335831,0.00109255501794912,0.0116018937620311,0.000208105717704594,0.00249726861245513,0.00374590291868269,0.00546277508974559,0.00816814941990531,0.00218511003589824,0.000468237864835336,0.00213308360647209,0.0033296914832735,0.000260132147130742,0.00109255501794912,0.00374590291868269,0.0067634358253993
"24","Bulgaria",0.00468804077651575,0.00396438347544285,0.00453072397193468,0.00758266998080735,0.00251706887329705,0.00585218513041563,0.00585218513041563,0.00670169587515338,0.0107290060724287,0.00487682094201303,0.00893559450020451,0.00563194160400214,0.0149450964352012,0.00100682754931882,0.00229682534688355,0.00711071956706415,0.00836925400371268
"25","Burkina Faso",0.0022281865599838,0.000708968450903935,0.00258267078543576,0.00116473388362789,0.00126601509089988,0.00410188889451562,0.0011140932799919,0.00789993416721527,0.000455765432723958,0.0032916392363397,0.000658327847267939,0.00131665569453588,0.00445637311996759,0.000455765432723958,0.00162049931635185,0.00425381070542361,0.011039651592647
"26","Burundi",0.00394294329119796,0.00429085005218601,0.00362402876029224,0.00388495883103328,0.00249333178708106,0.00895859909544242,0.00458077235300939,0.00774092543198423,0.00640728284819668,0.00249333178708106,0.00533457033515018,0.00417488113185666,0.00394294329119796,0.00113069697321118,0.00272526962773977,0.00585643047663226,0.00492867911399745
"27","Cabo Verde",0.0059386214735444,0.00224773629966412,0.00378028377670783,0.00461041366010651,0.00217110892581193,0.00356317288412664,0.00269472931380187,0.00440607399650068,0.0041123357300673,0.00380582623465856,0.00385691115056002,0.00439330276752532,0.0025031608791714,0.00157086116396981,0.00164748853782199,0.00517234773502254,0.00406125081416585
"28","Cambodia",0.00570457001207653,0.00418705904786118,0.00503718299116507,0.00699167355240577,0.00367062861501303,0.00795302866586156,0.00355145236127884,0.00525170024788661,0.00539471175236764,0.00323364901798767,0.00457636814339287,0.00304296701201297,0.00429034513443081,0.00315419818216488,0.00390103603889913,0.00858069026886163,0.00539471175236764
"29","Cameroon",0.00454308638116078,0.0042513285401688,0.00501198291132646,0.00622069396686464,0.00244868187975409,0.00474106491611962,0.00378243201000313,0.00943003021777639,0.00841929769719704,0.00238616234239867,0.00355319370636657,0.00436594769198708,0.00251120141710951,0.00160466812545587,0.00199020527248098,0.00658539126810462,0.00621027404397207
"30","Canada",0.00497872725626867,0.000633656196252376,0.00117679007875441,0.00199149090250747,0.00325880329501222,0.000814700823753055,0.000995745451253734,0.00905223137503395,0.00316828098126188,0.00199149090250747,0.000995745451253734,0.00398298180501494,0.00995745451253734,0.000543133882502037,0.00108626776500407,0.00452611568751697,0.00787544129627953
"31","Central African Republic",0.00475707932218657,0.00377188537972189,0.00329336260766762,0.00320891741259922,0.00329336260766762,0.00439115014355683,0.00188594268986095,0.00360299498958509,0.0047852277205427,0.00258965264876429,0.00205483307999775,0.00304002702246242,0.0043630017452007,0.000788155153971739,0.00118223273095761,0.00681191240218432,0.00540449248437764
"32","Chad",0.00237452984309107,0.0014627103833441,0.0023935260818358,0.00246951103681471,0.00153869533832301,0.00136772918962046,0.00136772918962046,0.00402720261388245,0.00131074047338627,0.00140572166710991,0.00151969909957828,0.00131074047338627,0.00286843205045401,0.000550890923597128,0.00108278560844953,0.00271646214049618,0.00341932297405114
"33","Chile",0.00449892929411996,0.0017877841299778,0.00577591795838982,0.00626706744464745,0.00903715054714053,0.00420423960236538,0.00229857959568574,0.00400777980786232,0.00479361898587454,0.00332017052710163,0.00341840042435316,0.00546158228718493,0.00402742578731263,0.00363450619830652,0.00180743010942811,0.008938920649889,0.00277008310249307
"34","China",0.00704031214877961,0.00464406132705643,0.00226901626481752,0.00500455923828912,0.00383824246665394,0.00699790062981106,0.00689187183238968,0.00477129588396208,0.0175583688529805,0.00383824246665394,0.00788854252815064,0.00432597493479229,0.00209937018894332,0.00324448120109422,0.00347774455542125,0.00540746866849036,0.00614967025044002
"35","Colombia",0.0076659163740256,0.00447346833212775,0.00225896007015304,0.00391984126663407,0.00490586319349872,0.00475634347508072,0.00400470380951996,0.0035521035807952,0.00536250449569424,0.00267923171111174,0.00439264686271261,0.0046553166383118,0.00507962935274126,0.00368545900533018,0.00367737685838866,0.012078768604092,0.00310758549901196
"36","Comoros",0.00595169966807829,0.00318568539925985,0.00440654686963489,0.00400595169966808,0.00265155850597078,0.00499790164434779,0.00333829308305673,0.0113311205219183,0.00434931898821106,0.00251802678264851,0.00305215367593758,0.00352905268780283,0.00410133150204113,0.00179314028461333,0.00144977299607035,0.0046354583953302,0.00358628056922666
"37","Congo, Dem. Rep.",0.00609856060854454,0.00386897931079708,0.0033443719466212,0.00468867831732188,0.00245909701957441,0.00488540607888783,0.0024918849798354,0.00541001344306371,0.00491819403914882,0.00255746090035739,0.00331158398636021,0.00314764418505525,0.00432801075445097,0.00114757860913473,0.00298370438375029,0.00481983015836585,0.00340994786714318
"38","Congo, Rep.",0.00639533473970078,0.0039220678451056,0.00455857035474407,0.00669236924419873,0.00223685167672947,0.00435246478019447,0.0028127348997357,0.00703183724933925,0.00578307994471521,0.0031218932615601,0.00414635920564487,0.00453432264009117,0.00395843941708494,0.00156397759511166,0.00245508110860551,0.00487985257389491,0.00423728813559322
"39","Costa Rica",0.00413771807935773,0.00379805465493284,0.00179095260151305,0.00194534506716072,0.00154392465647676,0.0026246719160105,0.00134321445113478,0.00208429828624363,0.00222325150532654,0.00276362513509341,0.001528485409912,0.00142041068395862,0.003720858422109,0.000910915547321291,0.000756523081673614,0.00824455766558592,0.00322680253203644
"40","Croatia",0.00714520547945205,0.0033972602739726,0.00271780821917808,0.00495342465753425,0.00324383561643836,0.00462465753424658,0.00604931506849315,0.00501917808219178,0.00830684931506849,0.00295890410958904,0.0065972602739726,0.00427397260273973,0.00521643835616438,0.00135890410958904,0.00146849315068493,0.0078027397260274,0.0033972602739726
