"Goal" "word" "n" "tf" "idf" "tf_idf"
"171" 11 "accessible" 2 0.00498753117206983 2.83321334405622 0.0141307398706046
"172" 11 "settlements" 2 0.00498753117206983 2.83321334405622 0.0141307398706046
"173" 11 "slums" 2 0.00498753117206983 2.83321334405622 0.0141307398706046
"174" 11 "reduction" 5 0.0124688279301746 1.04145387482816 0.0129857091624459
"175" 12 "material" 7 0.0208955223880597 2.14006616349627 0.0447178004312654
"176" 12 "waste" 6 0.017910447761194 2.14006616349627 0.0383295432267989
"177" 12 "consumption" 9 0.026865671641791 1.22377543162212 0.0328775489092509
"178" 12 "production" 6 0.017910447761194 1.44691898293633 0.0259149668585611
"179" 12 "food" 4 0.0119402985074627 2.14006616349627 0.0255530288178659
"180" 12 "impacts" 4 0.0119402985074627 2.14006616349627 0.0255530288178659
"181" 12 "companies" 3 0.00895522388059702 2.83321334405622 0.0253720597975184
"182" 12 "footprint" 3 0.00895522388059702 2.14006616349627 0.0191647716133994
"183" 12 "sustainability" 3 0.00895522388059702 2.14006616349627 0.0191647716133994
"184" 12 "taking" 4 0.0119402985074627 1.44691898293633 0.017276644572374
"185" 12 "cycle" 2 0.00597014925373134 2.83321334405622 0.0169147065316789
"186" 12 "patterns" 2 0.00597014925373134 2.83321334405622 0.0169147065316789
"187" 12 "procurement" 2 0.00597014925373134 2.83321334405622 0.0169147065316789
"188" 12 "hazardous" 3 0.00895522388059702 1.73460105538811 0.0155337407945204
"189" 12 "subsidies" 3 0.00895522388059702 1.73460105538811 0.0155337407945204
"190" 13 "climate" 9 0.0403587443946188 1.44691898293633 0.058395833392049
"191" 13 "change" 6 0.0269058295964126 1.44691898293633 0.0389305555946993
"192" 13 "adaptation" 5 0.0224215246636771 1.73460105538811 0.0388924003450248
"193" 13 "disaster" 4 0.0179372197309417 1.73460105538811 0.0311139202760198
"194" 13 "strategies" 6 0.0269058295964126 1.04145387482816 0.0280211804886501
"195" 13 "united" 4 0.0179372197309417 1.44691898293633 0.0259537037297996
"196" 13 "billion" 2 0.00896860986547085 2.83321334405622 0.0254099851484862
"197" 13 "contributions" 2 0.00896860986547085 2.83321334405622 0.0254099851484862
"198" 13 "goal" 2 0.00896860986547085 2.83321334405622 0.0254099851484862
"199" 13 "raising" 2 0.00896860986547085 2.83321334405622 0.0254099851484862
"200" 13 "secretariat" 2 0.00896860986547085 2.83321334405622 0.0254099851484862
"201" 13 "reduction" 5 0.0224215246636771 1.04145387482816 0.0233509837405417
"202" 13 "convention" 3 0.0134529147982063 1.73460105538811 0.0233354402070149
"203" 13 "nations" 3 0.0134529147982063 1.73460105538811 0.0233354402070149
"204" 14 "marine" 13 0.0398773006134969 2.83321334405622 0.112980900223101
"205" 14 "fisheries" 5 0.0153374233128834 2.83321334405622 0.0434541923935002
"206" 14 "fishing" 4 0.0122699386503067 2.83321334405622 0.0347633539148002
"207" 14 "oceans" 4 0.0122699386503067 2.83321334405622 0.0347633539148002
"208" 14 "coastal" 3 0.00920245398773006 2.83321334405622 0.0260725154361002
"209" 14 "ocean" 3 0.00920245398773006 2.83321334405622 0.0260725154361002
"210" 14 "unregulated" 3 0.00920245398773006 2.83321334405622 0.0260725154361002
"211" 14 "unreported" 3 0.00920245398773006 2.83321334405622 0.0260725154361002
"212" 14 "law" 5 0.0153374233128834 1.44691898293633 0.0221920089407412
"213" 14 "subsidies" 4 0.0122699386503067 1.73460105538811 0.0212834485323694
"214" 14 "illegal" 3 0.00920245398773006 2.14006616349627 0.0196938604002724
