"","Country","Rank 1","Rank 2","Rank 3","Rank 4","Rank 5","Rank 6","Rank 7","Rank 8","Rank 9","Rank 10","Rank 11","Rank 12","Rank 13","Rank 14","Rank 15","Rank 16","Rank 17"
"106","Mauritius",9,17,4,8,16,12,10,6,7,2,1,13,5,3,11,15,14
"107","Mexico",16,1,13,4,11,12,8,10,5,9,2,3,17,7,14,15,6
"108","Micronesia, Fed. Sts.",4,3,6,9,15,17,14,2,16,8,10,13,1,12,11,7,5
"109","Moldova",1,16,3,4,8,5,6,13,10,9,11,7,17,12,2,15,14
"110","Monaco",7,4,16,12,11,1,3,5,8,17,10,9,13,2,15,6,NA
"111","Mongolia",3,2,10,9,12,7,14,1,11,17,4,15,6,16,8,13,5
"112","Montenegro",8,12,6,13,1,11,16,17,7,2,3,9,15,4,10,14,5
"113","Morocco",6,8,13,12,15,1,7,11,9,3,17,14,2,4,16,10,5
"114","Mozambique",9,8,12,1,17,6,2,16,11,4,7,10,5,14,13,3,15
"115","Namibia",4,8,6,1,9,15,16,17,11,3,10,5,7,13,12,2,14
"116","Nauru",13,8,17,1,9,12,15,6,4,16,11,14,3,10,2,7,5
"117","Nepal",9,13,6,1,11,17,7,16,2,8,4,10,12,15,3,5,14
"118","Netherlands",8,7,4,9,13,10,1,12,17,16,11,6,3,5,2,15,14
"119","New Zealand",2,13,9,17,8,6,7,12,11,16,3,4,1,10,5,15,NA
"120","Nicaragua",6,1,4,9,12,11,16,2,13,8,7,5,3,15,10,17,14
"121","Niger",6,1,4,16,2,5,13,17,8,3,12,11,9,7,10,15,14
"122","Nigeria",9,8,17,1,4,7,2,6,16,13,10,12,3,5,11,15,14
"123","North Macedonia",16,8,7,4,17,10,11,12,3,9,5,1,2,6,14,13,15
"124","Norway",13,5,4,14,17,1,8,6,12,16,9,10,2,7,15,3,11
"125","Oman",8,9,17,16,4,3,13,10,1,7,12,14,11,6,2,5,15
"126","Pakistan",8,9,7,6,4,2,16,17,1,13,10,12,11,3,5,15,14
"127","Palau",8,10,6,15,4,16,17,13,14,9,3,1,12,2,7,11,5
"128","Papua New Guinea",13,4,9,10,8,17,16,3,7,11,2,15,1,14,6,12,5
"129","Paraguay",1,16,6,8,17,11,2,7,12,9,13,10,15,3,4,5,14
"130","Philippines",9,16,4,13,1,7,6,2,12,11,17,3,8,10,15,5,14
"131","Poland",11,8,16,1,6,9,13,17,10,7,4,12,15,2,3,5,14
"132","Portugal",12,4,9,1,11,8,16,2,6,13,7,3,10,14,15,17,5
"133","Qatar",1,16,8,9,11,13,3,5,10,6,7,17,4,2,12,14,15
"134","Romania",8,1,17,13,9,6,11,15,12,16,7,3,4,5,14,2,10
"135","Russian Federation",16,12,13,1,11,6,9,8,14,17,5,7,2,4,10,15,3
"136","Rwanda",8,9,4,17,3,1,16,6,2,13,11,10,7,12,15,5,14
"137","Samoa",6,8,9,1,13,17,16,11,4,10,7,2,12,15,5,3,14
"138","San Marino",11,9,7,12,13,1,2,17,6,10,15,3,8,5,16,NA,NA
"139","Saudi Arabia",17,9,4,11,7,16,12,5,8,1,3,6,10,13,2,15,14
"140","Serbia",8,13,16,1,11,5,6,3,7,4,17,9,12,15,2,10,14
"141","Seychelles",8,13,17,1,16,9,7,6,14,10,4,3,15,12,11,5,2
"142","Sierra Leone",4,8,1,16,17,9,6,11,10,2,3,13,5,7,15,12,14
"143","Singapore",2,17,9,12,16,15,11,8,1,7,10,3,4,6,14,13,5
"144","Slovak Republic",17,13,8,6,16,10,1,9,11,3,4,7,14,NA,NA,NA,NA
"145","Slovenia",8,17,16,1,13,9,10,12,7,11,4,6,5,2,15,3,14
"146","Solomon Islands",8,4,1,13,6,3,11,17,9,16,5,15,2,12,7,10,14
"147","Somalia",1,8,16,17,9,4,2,6,13,11,10,12,3,14,5,7,15
"148","South Africa",17,9,4,8,16,1,10,3,11,6,7,13,12,2,5,15,14
"149","South Sudan",17,8,13,16,4,1,9,10,5,6,3,11,12,2,15,7,14
"150","Spain",4,8,9,1,13,3,11,7,10,12,16,5,6,17,2,15,14
"151","Sri Lanka",1,8,4,16,11,12,6,7,9,10,17,2,14,13,5,3,15
"152","St. Kitts and Nevis",17,9,1,4,8,6,16,13,15,2,10,12,11,3,7,5,14
"153","St. Lucia",8,1,13,4,16,17,11,9,3,6,2,12,7,5,15,10,14
"154","St. Vincent and the Grenadines",8,1,17,13,4,16,2,9,6,7,11,3,15,12,10,5,14
"155","Sudan",8,9,4,17,10,1,16,7,11,3,12,13,2,6,5,15,14
"156","Suriname",4,9,16,13,12,2,8,1,7,11,6,17,14,15,3,5,10
"157","Sweden",9,8,4,5,16,1,13,10,17,3,11,12,7,2,15,14,6
"158","Switzerland",12,13,8,1,17,5,15,7,2,10,9,16,11,4,6,3,14
"159","Syrian Arab Republic",6,9,12,3,7,17,2,16,8,5,10,1,4,11,13,15,14
"160","Tajikistan",9,8,1,6,16,7,4,11,2,5,10,12,3,17,13,15,14
"161","Tanzania",9,4,16,17,8,6,10,7,2,13,3,1,12,15,11,5,14
"162","Thailand",8,9,1,12,4,11,16,2,6,17,13,7,10,5,3,15,14
"163","Timor-Leste",4,9,6,16,8,3,17,2,7,13,15,1,5,14,12,11,10
"164","Togo",8,1,9,4,17,6,16,5,3,13,11,7,2,12,15,10,14
"165","Tonga",4,3,16,8,13,1,9,6,17,7,11,15,2,10,12,5,14
"166","Trinidad and Tobago",16,17,13,6,7,10,9,8,1,11,3,12,4,15,2,14,5
"167","Tunisia",16,9,1,4,8,10,17,6,3,12,7,5,2,11,13,14,15
"168","Türkiye",9,16,4,1,12,11,10,8,17,7,2,13,6,3,5,15,14
"169","Turkmenistan",9,7,12,2,10,8,11,4,17,6,1,16,3,5,13,14,15
"170","Tuvalu",8,11,13,6,17,4,7,12,14,1,2,9,16,10,3,5,15
"171","Uganda",9,16,4,11,8,6,17,2,13,7,1,15,12,10,3,5,14
"172","Ukraine",9,16,10,4,17,7,14,6,12,13,1,11,8,2,3,5,15
"173","United Arab Emirates",7,9,4,8,17,12,10,6,11,5,1,16,2,3,13,14,NA
"174","United Kingdom",9,8,4,13,17,7,16,11,12,10,2,15,3,1,6,5,14
"175","United States",13,10,8,17,6,9,7,16,4,11,1,12,15,2,3,5,14
"176","Uruguay",9,8,1,12,5,4,13,16,7,11,17,10,3,2,6,15,14
"177","Uzbekistan",8,13,16,10,9,4,7,11,17,12,1,2,3,6,5,14,15
"178","Vanuatu",11,16,17,13,1,4,15,10,12,8,2,6,7,9,3,14,5
"179","Vietnam",8,16,10,1,9,4,17,7,11,13,2,6,3,15,5,12,14
"180","Yemen, Rep.",11,9,4,7,8,1,10,17,6,5,12,3,14,13,16,2,15
"181","Zambia",6,4,17,8,9,1,3,16,13,12,15,11,7,10,2,5,14
"182","Zimbabwe",8,9,16,17,2,13,4,3,6,1,12,11,10,7,15,5,14
